City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lakatoro,VU,82.99,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
1,Port Lincoln,AU,76.35,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
4,Wajir,KE,81.48,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
6,Atlantic Beach,US,77.0,scattered clouds,30.3344,-81.3987,One Ocean Resort & Spa
7,Armadale,AU,72.0,overcast clouds,-32.15,116.0,Armadale Cottage Bed & Breakfast
12,Puerto Ayora,EC,78.01,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Port Alfred,ZA,65.93,overcast clouds,-33.5906,26.891,The Halyards Hotel
14,Illapel,CL,65.52,clear sky,-31.6308,-71.1653,Hotel Londres
16,Hilo,US,80.6,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
18,Port Blair,IN,79.32,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
19,Makakilo City,US,84.2,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
23,Ngunguru,NZ,64.99,moderate rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
27,Half Moon Bay,US,77.0,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
28,Mecca,SA,73.4,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
29,Avarua,CK,84.2,clear sky,-21.2078,-159.775,Paradise Inn
31,Butaritari,KI,82.02,light rain,3.0707,172.7902,Isles Sunset Lodge
32,Umm Lajj,SA,67.66,clear sky,25.0213,37.2685,Moon light Furnished Units
33,Mar Del Plata,AR,66.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
34,Cotonou,BJ,84.2,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
35,Treinta Y Tres,UY,60.53,overcast clouds,-33.2333,-54.3833,Jardines Apart-Hotel
37,Bengkulu,ID,76.15,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
39,Plettenberg Bay,ZA,62.19,light rain,-34.0527,23.3716,Thanda Vista B&B
42,Las Palmas,ES,66.2,clear sky,28.4204,-14.0131,Casillas De Morales 59.
43,Atuona,PF,80.28,light rain,-9.8,-139.0333,Villa Enata
44,Amapa,BR,72.18,broken clouds,1.0,-52.0,
45,Takoradi,GH,80.02,scattered clouds,4.8845,-1.7554,Raybow International Hotel
48,Mbandaka,CD,70.45,broken clouds,0.0487,18.2603,Guest House Epervier
50,Chuy,UY,62.26,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
51,Kapaa,US,80.6,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
53,Cape Town,ZA,62.01,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
54,Busselton,AU,66.0,overcast clouds,-33.65,115.3333,Observatory Guest House
56,Rikitea,PF,79.09,broken clouds,-23.1203,-134.9692,Pension Maro'i
62,Geraldton,AU,66.2,few clouds,-28.7667,114.6,Broadwater Mariner Resort
63,Sonoita,MX,84.99,scattered clouds,31.85,-112.8333,Hotel Nora
65,Port Elizabeth,ZA,62.6,clear sky,-33.918,25.5701,39 On Nile Guest House
66,Tiarei,PF,87.8,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
68,Qandala,SO,79.5,scattered clouds,11.472,49.8728,
71,Viedma,AR,61.02,broken clouds,-40.8135,-62.9967,Hotel Cristal
72,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
