City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lakatoro,VU,-16.0999,167.4164,82.99,75,99,7.58,overcast clouds
1,Port Lincoln,AU,-34.7333,135.8667,76.35,40,77,4.94,broken clouds
2,Provideniya,RU,64.3833,-173.3,6.8,66,0,4.47,clear sky
3,Tasiilaq,GL,65.6145,-37.6368,28.4,86,37,9.22,scattered clouds
4,Wajir,KE,1.7471,40.0573,81.48,62,57,14.38,broken clouds
5,Barrow,US,71.2906,-156.7887,-5.8,59,1,24.16,clear sky
6,Atlantic Beach,US,30.3344,-81.3987,77.0,88,40,10.36,scattered clouds
7,Armadale,AU,-32.15,116.0,72.0,68,98,8.05,overcast clouds
8,Zhireken,RU,52.8249,117.3076,25.48,60,47,0.92,scattered clouds
9,Frederikshavn,DK,57.4407,10.5366,44.01,100,90,5.75,light rain
10,Punta Arenas,CL,-53.15,-70.9167,51.8,62,0,8.05,clear sky
11,Deputatskiy,RU,69.3,139.9,0.86,86,93,2.89,overcast clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,78.01,94,35,10.0,scattered clouds
13,Port Alfred,ZA,-33.5906,26.891,65.93,83,91,10.33,overcast clouds
14,Illapel,CL,-31.6308,-71.1653,65.52,71,0,2.86,clear sky
15,Yellowknife,CA,62.456,-114.3525,26.6,50,40,8.05,scattered clouds
16,Hilo,US,19.7297,-155.09,80.6,61,40,11.5,scattered clouds
17,Bluff,NZ,-46.6,168.3333,57.99,74,57,3.0,broken clouds
18,Port Blair,IN,11.6667,92.75,79.32,84,97,5.44,overcast clouds
19,Makakilo City,US,21.3469,-158.0858,84.2,51,20,9.22,few clouds
20,Dikson,RU,73.5069,80.5464,-14.17,84,99,3.31,overcast clouds
21,Hermanus,ZA,-34.4187,19.2345,59.0,94,100,7.07,light rain
22,Yelizovo,RU,53.1873,158.3805,35.6,100,90,8.95,moderate rain
23,Ngunguru,NZ,-35.6167,174.5,64.99,88,10,5.01,moderate rain
24,Laramie,US,41.3114,-105.5911,42.8,17,1,10.36,clear sky
25,Westport,US,41.1415,-73.3579,53.6,94,90,9.62,light rain
26,Gat,IL,31.61,34.7642,55.0,100,15,4.09,few clouds
27,Half Moon Bay,US,37.4636,-122.4286,77.0,21,1,3.44,clear sky
28,Mecca,SA,21.4267,39.8261,73.4,60,0,4.88,clear sky
29,Avarua,CK,-21.2078,-159.775,84.2,58,8,14.97,clear sky
30,Mutoko,ZW,-17.397,32.2268,55.99,88,20,2.37,few clouds
31,Butaritari,KI,3.0707,172.7902,82.02,78,81,14.79,light rain
